,name,distance,mass,radius,gravity
0,SDSS J000013.54+255418.6 [de],46.1,9.5472e+31,688743000.0,2402.229064918921
1,2MASS J00040288-6410358,37.7,3.7791e+31,1133991000.0,1946.3061357262309
2,2MASS J00242463-0158201,87.2,1.57131e+32,758313000.0,2088.894839059931
3,2MASS J00274197+0503417,31.0,6.165899999999999e+31,1001808000.0,1756.4063871680391
4,2MASSW J0030300-145033,28.6,1.07406e+32,681786000.0,2088.894839059931
5,2MASS J00332386-1521309 [de],57.0,5.7681000000000005e+31,994851000.0,2287.8538096868974
6,2MASS J00345157+0523050,40.0,8.3538e+31,653958000.0,2919.459203589346
7,2MASS 0036+1821,34.0,8.3538e+31,653958000.0,3146.289953873326
8,2MASSW J0045214+163445,96.0,4.574699999999999e+31,1127034000.0,2754.5379810034583
9,WISEP J004701.06+680352.1 [fr],70.0,2.3868e+31,904410000.0,1903.2651108419932
10,2MASS J00501994-3322402 [de],51.0,7.956e+31,653958000.0,3022.579498220084
11,2MASS J00584253-0651239 [de],70.0,5.7681000000000005e+31,994851000.0,1604.4114379767152
12,2MASSI J0103320+193536,35.0,1.03428e+32,681786000.0,1698.9965750915958
13,SDSSp J010752.33+004156.1 [de],53.0,1.03428e+32,681786000.0,1593.577946473975
14,2MASSI J0117474-340325 [de],24.0,3.978e+31,1127034000.0,3303.6044515669923
15,2MASS J01415823-4633574 [de],16.2,3.978e+31,1120077000.0,3356.3850707931942
16,SDSS J015141.69+124429.6,45.0,9.348300000000001e+31,674829000.0,1938.835309963814
17,SDSS J020742.48+000056.2 [de],47.0,9.348300000000001e+31,674829000.0,3409.0707090235587
18,2MASS J02103857-3015313,59.0,2.9835e+31,1064421000.0,3404.852098108101
19,2MASS J02340093-6442068,80.0,3.978e+31,1127034000.0,1843.1949975414543
